year,subject,position,school_id,school_name,slug,city,voivodeship,score,voivodeship_position,voivodeship_total,is_public
2022,overall,127,019c23a3-70b9-7839-89f4-5c8c3b97c69d,SZKOŁA PODSTAWOWA NR 10 IM. EUGENIUSZA KWIATKOWSKIEGO,gdynia/szkola-podstawowa/szkola-podstawowa-nr-10-im-eugeniusza-kwiatkowskiego-4300,Gdynia,POMORSKIE,51.14,459,645,True
2022,overall,128,019c23d9-4d0e-782d-8261-01f1fb99f1ce,SZKOŁA PODSTAWOWA NR 49 IM. KS. BRONISŁAWA KOMOROWSKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-49-im-ks-bronislawa-komorowskiego-w-gdansku-11179,Gdańsk,POMORSKIE,48.45,518,645,True
2022,overall,129,019c23da-4cec-7562-b8d2-47abc21f2b67,SZKOŁA PODSTAWOWA NR 69 IM GENERAŁA STANISŁAWA SOSABOWSKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-69-im-generala-stanislawa-sosabowskiego-w-gdansku-17410,Gdańsk,POMORSKIE,47.8,531,645,True
2022,overall,130,019c23d9-2b49-7cd5-adb2-cca317fb715b,SZKOŁA PODSTAWOWA NR 16 IM. WŁADYSŁAWA BRONIEWSKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-16-im-wladyslawa-broniewskiego-w-gdansku-10294,Gdańsk,POMORSKIE,47.21,539,645,True
2022,overall,131,019c23dc-d556-7fff-be9c-9054842b9126,SZKOŁA PODSTAWOWA SPECJALNA NR 28,gdansk/szkola-podstawowa/szkola-podstawowa-specjalna-nr-28-39066,Gdańsk,POMORSKIE,22.33,642,645,True
2023,overall,1,019c23dd-3a9e-7e6f-80ef-4d360046bc2a,"PODSTAWOWA SZKOŁA SPOŁECZNA ""NIEDŹWIEDNIK""",gdansk/szkola-podstawowa/podstawowa-szkola-spoleczna-niedzwiednik-43412,Gdańsk,POMORSKIE,92.95,1,653,False
2023,overall,2,019c23e1-616e-74f1-adca-e1dedbc7bfcc,GDAŃSKIE SZKOŁY AUTONOMICZNE GDAŃSKA AUTONOMICZNA SZKOŁA PODSTAWOWA,gdansk/szkola-podstawowa/gdanskie-szkoly-autonomiczne-gdanska-autonomiczna-szkola-podstawowa-85999,Gdańsk,POMORSKIE,92.54,2,653,False
2023,overall,3,019c23e4-0df5-72c8-8d0a-f60a60b1d6aa,FREGATA SZKOŁA PODSTAWOWA DLA DZIEWCZĄT,gdansk/szkola-podstawowa/fregata-szkola-podstawowa-dla-dziewczat-119762,Gdańsk,POMORSKIE,92.41,3,653,False
2023,overall,4,019c23df-42af-7f75-a61d-e7cab4b0088e,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""SOKRATES""",gdansk/szkola-podstawowa/niepubliczna-szkola-podstawowa-sokrates-66309,Gdańsk,POMORSKIE,89.87,4,653,False
2023,overall,5,019c23e2-10a9-7973-9adf-79949fc7bf33,AMERYKAŃSKA SZKOŁA PODSTAWOWA Z WYKŁADOWYM JĘZYKIEM ANGIELSKIM,gdynia/szkola-podstawowa/amerykanska-szkola-podstawowa-z-wykladowym-jezykiem-angielskim-90298,Gdynia,POMORSKIE,89.73,5,653,False
2023,overall,6,019c23c2-5015-788a-b0d6-d50600a116f4,PIERWSZA SZKOŁA SPOŁECZNA PODSTAWOWA IM.DZIECI ZJEDNOCZONEJ EUROPY,gdynia/szkola-podstawowa/pierwsza-szkola-spoleczna-podstawowa-im-dzieci-zjednoczonej-europy-5959,Gdynia,POMORSKIE,89.69,6,653,False
2023,overall,7,019c23e1-6b8c-747d-b86a-71d4163a5729,II SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,gdansk/szkola-podstawowa/ii-spoleczna-szkola-podstawowa-spolecznego-towarzystwa-oswiatowego-86125,Gdańsk,POMORSKIE,89.16,7,653,False
2023,overall,8,019c23df-0382-744f-9214-164cfe6ca861,KATOLICKA SZKOŁA PODSTAWOWA IM ŚW. RODZINY W GDYNI,gdynia/szkola-podstawowa/katolicka-szkola-podstawowa-im-sw-rodziny-w-gdyni-62306,Gdynia,POMORSKIE,88.81,9,653,True
2023,overall,9,019c23d9-40aa-7f43-9c99-6ba57bfa4d05,"PRYWATNA SZKOŁA PODSTAWOWA ""LIBER""",gdynia/szkola-podstawowa/prywatna-szkola-podstawowa-liber-10829,Gdynia,POMORSKIE,88.51,11,653,False
2023,overall,10,019c23e1-7027-749c-bb81-1e9b35e222db,SZKOŁA PODSTAWOWA IM. ŚW. JANA DE LA SALLE,gdansk/szkola-podstawowa/szkola-podstawowa-im-sw-jana-de-la-salle-86264,Gdańsk,POMORSKIE,88.25,12,653,False
2023,overall,11,019c23e1-7546-7a86-9791-e2c8d2fa541c,III SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,gdansk/szkola-podstawowa/iii-spoleczna-szkola-podstawowa-spolecznego-towarzystwa-oswiatowego-86458,Gdańsk,POMORSKIE,87.88,13,653,False
2023,overall,12,019c23e1-6bad-7a57-91d1-e87f5608fb63,I SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,gdansk/szkola-podstawowa/i-spoleczna-szkola-podstawowa-spolecznego-towarzystwa-oswiatowego-86148,Gdańsk,POMORSKIE,87.52,14,653,False
2023,overall,13,019c23e6-684d-706a-997d-2aa66781268f,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 2 SZKOŁA PODSTAWOWA NR 33 IM. STEFANA BANACHA W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkol-ogolnoksztalcacych-nr-2-szkola-podstawowa-nr-33-im-stefana-banacha-w-gdansku-262215,Gdańsk,POMORSKIE,83.71,17,653,True
